product_id,product_name,brand,product_type,hair_issue,key_ingredients,rating,description,hair_issue_def,treatment,caused_by,product_image
11,Moroccanoil Treatment Light,Moroccanoil,Oil,Dry Hair,Argan Oil,4.8,Lightweight formula for fine or light-colored hair.,Hair that lacks moisture or oils.,"Prevention: Using moisturizing shampoos and conditioners, avoiding excessive heat styling.Diagnosis: Clinical examination.Treatment: Shampoos and conditioners with ingredients like shea butter, coconut oil, argan oil.Rehabilitation: Regular deep conditioning treatments, avoiding harsh chemicals.","Over-washing, heat damage, environmental factors.",https://id.ozcosmetics.com/prodimgs/202103/189206.jpg
12,SheaMoisture Manuka Honey & Mafura Oil Intensive Hydration Shampoo,SheaMoisture,Shampoo,Dry Hair,Manuka Honey,4.7,Deeply hydrates and restores moisture to dry hair.,Hair that lacks moisture or oils.,"Prevention: Using moisturizing shampoos and conditioners, avoiding excessive heat styling.Diagnosis: Clinical examination.Treatment: Shampoos and conditioners with ingredients like shea butter, coconut oil, argan oil.Rehabilitation: Regular deep conditioning treatments, avoiding harsh chemicals.","Over-washing, heat damage, environmental factors.",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.com%2FSheaMoisture-Manuka-Intensive-Hydration-Shampoo%2Fdp%2FB00OO0J9UY&psig=AOvVaw1mLYjByBq8bWtXNZi5ur35&ust=1718539702961000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCOCvjLbJ3YYDFQAAAAAdAAAAABAE
13,Olaplex No. 3 Hair Perfector,Olaplex,Treatment,Dry Hair,Bis-Aminopropyl Diglycol Dimaleate,4.9,Repairs and strengthens damaged hair.,Hair that lacks moisture or oils.,"Prevention: Using moisturizing shampoos and conditioners, avoiding excessive heat styling.Diagnosis: Clinical examination.Treatment: Shampoos and conditioners with ingredients like shea butter, coconut oil, argan oil.Rehabilitation: Regular deep conditioning treatments, avoiding harsh chemicals.","Over-washing, heat damage, environmental factors.",https://s3.ap-southeast-1.amazonaws.com/assets.femaledaily.com/remastering-data/production/product/product-1712295281158-
14,Maui Moisture Heal & Hydrate + Shea Butter Shampoo,Maui Moisture,Shampoo,Dry Hair,Shea Butter,4.5,Hydrates and repairs dry damaged hair.,Hair that lacks moisture or oils.,"Prevention: Using moisturizing shampoos and conditioners, avoiding excessive heat styling.Diagnosis: Clinical examination.Treatment: Shampoos and conditioners with ingredients like shea butter, coconut oil, argan oil.Rehabilitation: Regular deep conditioning treatments, avoiding harsh chemicals.","Over-washing, heat damage, environmental factors.",https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/mmo/mmo18011/l/8.jpg
15,Joico Moisture Recovery Shampoo,Joico,Shampoo,Dry Hair,Sea Kelp,4.6,Restores moisture and smoothness to dry hair.,Hair that lacks moisture or oils.,"Prevention: Using moisturizing shampoos and conditioners, avoiding excessive heat styling.Diagnosis: Clinical examination.Treatment: Shampoos and conditioners with ingredients like shea butter, coconut oil, argan oil.Rehabilitation: Regular deep conditioning treatments, avoiding harsh chemicals.","Over-washing, heat damage, environmental factors.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx4bsKcDYd7unWa74BwTzpty32AEvYUNfHew&s
16,Neutrogena T/Sal Therapeutic Shampoo,Neutrogena,Shampoo,Folliculitis,Salicylic Acid,4.5,Helps control scalp build-up and irritation.,"Inflammation of the hair follicles, often caused by bacterial or fungal infection.","Prevention: Good hygiene, avoiding tight clothing.Diagnosis: Clinical examination, bacterial cultures.Treatment: Antibacterial or antifungal shampoos, topical antibiotics.Rehabilitation: Maintaining scalp hygiene, monitoring for recurrence.","Bacterial infection (Staphylococcus aureus), fungal infection.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXQyAE_0FGP-_j_-iPknxkWAVAY8Oe5Uyvkw&s
17,Paul Mitchell Tea Tree Special Shampoo,Paul Mitchell,Shampoo,Folliculitis,Tea Tree Oil,4.6,Invigorates the scalp and helps manage dandruff.,"Inflammation of the hair follicles, often caused by bacterial or fungal infection.","Prevention: Good hygiene, avoiding tight clothing.Diagnosis: Clinical examination, bacterial cultures.Treatment: Antibacterial or antifungal shampoos, topical antibiotics.Rehabilitation: Maintaining scalp hygiene, monitoring for recurrence.","Bacterial infection (Staphylococcus aureus), fungal infection.",https://images.tokopedia.net/img/cache/700/VqbcmM/2022/7/21/53cce3ab-e2a5-4ed7-bedb-1f9178f9e775.jpg
18,CLn Healthy Scalp Shampoo,CLn,Shampoo,Folliculitis,Sodium Hypochlorite,4.4,Cleanses and soothes the scalp.,"Inflammation of the hair follicles, often caused by bacterial or fungal infection.","Prevention: Good hygiene, avoiding tight clothing.Diagnosis: Clinical examination, bacterial cultures.Treatment: Antibacterial or antifungal shampoos, topical antibiotics.Rehabilitation: Maintaining scalp hygiene, monitoring for recurrence.","Bacterial infection (Staphylococcus aureus), fungal infection.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-6DUgipCqh9okGQx8XwsL6jRKbTzKtZYkRw&s
19,Head & Shoulders Clinical Strength Shampoo,Head & Shoulders,Shampoo,Folliculitis,Selium Sulfide,4.3,Provides relief from severe dandruff and scalp irritation.,"Inflammation of the hair follicles, often caused by bacterial or fungal infection.","Prevention: Good hygiene, avoiding tight clothing.Diagnosis: Clinical examination, bacterial cultures.Treatment: Antibacterial or antifungal shampoos, topical antibiotics.Rehabilitation: Maintaining scalp hygiene, monitoring for recurrence.","Bacterial infection (Staphylococcus aureus), fungal infection.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsdu_M8u7T17OVD4xICJ85TbIn3volhFJo-Q&s
20,Dove DermaCare Scalp Anti-Dandruff Shampoo,Dove,Shampoo,Folliculitis,Pyrithione Zinc,4.5,Gentle nourishing shampoo for dandruff-prone scalps.,"Inflammation of the hair follicles, often caused by bacterial or fungal infection.","Prevention: Good hygiene, avoiding tight clothing.Diagnosis: Clinical examination, bacterial cultures.Treatment: Antibacterial or antifungal shampoos, topical antibiotics.Rehabilitation: Maintaining scalp hygiene, monitoring for recurrence.","Bacterial infection (Staphylococcus aureus), fungal infection.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRe1lNPFnVZjrwW6i2MZoUj1j4HiT9GZnCKog&s
21,RID Lice Killing Shampoo,RID,Shampoo,Head Lice,Piperonyl Butoxide,4.3,Kills lice and their eggs effectively.,Infestation of the scalp by lice.,"Prevention: Avoiding head-to-head contact, not sharing personal items.Diagnosis: Visual inspection, use of a lice comb.Treatment: Lice-killing shampoos containing neem oil, tea tree oil, coconut oil.Rehabilitation: Regular checks, nit combing.",Infestation by Pediculus humanus capitis.,https://m.media-amazon.com/images/I/41M0UmHijOL.jpg
22,NIX Lice Treatment Shampoo,NIX,Shampoo,Head Lice,Permethrin,4.2,Eliminates lice and prevents reinfestation.,Infestation of the scalp by lice.,"Prevention: Avoiding head-to-head contact, not sharing personal items.Diagnosis: Visual inspection, use of a lice comb.Treatment: Lice-killing shampoos containing neem oil, tea tree oil, coconut oil.Rehabilitation: Regular checks, nit combing.",Infestation by Pediculus humanus capitis.,https://m.media-amazon.com/images/I/61FIz95WiwL._AC_UF1000,1000_QL80_.jpg
23,Sklice (Ivermectin) Lotion,Sklice,Lotion,Head Lice,Ivermectin,4.5,One-time treatment for head lice.,Infestation of the scalp by lice.,"Prevention: Avoiding head-to-head contact, not sharing personal items.Diagnosis: Visual inspection, use of a lice comb.Treatment: Lice-killing shampoos containing neem oil, tea tree oil, coconut oil.Rehabilitation: Regular checks, nit combing.",Infestation by Pediculus humanus capitis.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRn3qhMMbs5n0KyZ4vEFdtKR6iXDXKLrQlD8g&s
24,NYDA Lice Treatment,NYDA,Treatment,Head Lice,Dimeticone,4.4,Effective in killing lice and their eggs.,Infestation of the scalp by lice.,"Prevention: Avoiding head-to-head contact, not sharing personal items.Diagnosis: Visual inspection, use of a lice comb.Treatment: Lice-killing shampoos containing neem oil, tea tree oil, coconut oil.Rehabilitation: Regular checks, nit combing.",Infestation by Pediculus humanus capitis.,https://rukminim2.flixcart.com/image/850/1000/hair-treatment/z/g/8/nyda-25-lice-treatment-spray-original-imaefa99a5dngqeu.jpeg?q=90&crop=false
25,Clearlice Head Lice Treatment Shampoo,Clearlice,Shampoo,Head Lice,Neem Oil,4.6,Uses natural ingredients to eliminate lice.,Infestation of the scalp by lice.,"Prevention: Avoiding head-to-head contact, not sharing personal items.Diagnosis: Visual inspection, use of a lice comb.Treatment: Lice-killing shampoos containing neem oil, tea tree oil, coconut oil.Rehabilitation: Regular checks, nit combing.",Infestation by Pediculus humanus capitis.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2bmwNSyf6IcV9Zl-P9TfesUC-ToObLTuNFg&s
26,Living Proof Perfect Hair Day Shampoo,Living Proof,Shampoo,Healthy Hair,Octafluoropentyl Methacrylate,4.7,Provides smoothness volume and strength.,"Hair that is strong, shiny, and resilient.","Prevention: Proper nutrition, using suitable hair care products.Diagnosis: Clinical examination, hair analysis.Treatment: Shampoos with nourishing ingredients like biotin, agave, keratin.Rehabilitation: Regular trims, protective styling.","Balanced diet, good hair care practices.",https://www.livingproof.com/on/demandware.static/-/Sites-livingproof-catalog/default/dw09937162/images/hi-res/pdp/refresh/INF_PhDShampoo_JUMBO_Front.jpg
27,Pantene Pro-V Daily Moisture Renewal Shampoo,Pantene,Shampoo,Healthy Hair,Pro-Vitamin B5,4.6,Moisturizes and repairs damaged hair.,"Hair that is strong, shiny, and resilient.","Prevention: Proper nutrition, using suitable hair care products.Diagnosis: Clinical examination, hair analysis.Treatment: Shampoos with nourishing ingredients like biotin, agave, keratin.Rehabilitation: Regular trims, protective styling.","Balanced diet, good hair care practices.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5wI4_Kxu1ED_pkGOySeTJ-3LxZhnILSTihQ&s
28,Biotin Shampoo for Hair Growth,Maple Holistics,Shampoo,Healthy Hair,Biotin,4.7,Strengthens and promotes healthy hair growth.,"Hair that is strong, shiny, and resilient.","Prevention: Proper nutrition, using suitable hair care products.Diagnosis: Clinical examination, hair analysis.Treatment: Shampoos with nourishing ingredients like biotin, agave, keratin.Rehabilitation: Regular trims, protective styling.","Balanced diet, good hair care practices.",https://images-cdn.ubuy.co.id/63d54323aab5760e812098a4-hair-chemist-biotin-pro-growth-shampoo.jpg
29,Aveeno Scalp Soothing Fresh Greens Blend Shampoo,Aveeno,Shampoo,Healthy Hair,Apple Cider Vinegar,4.5,Cleanses and adds shine to the hair.,"Hair that is strong, shiny, and resilient.","Prevention: Proper nutrition, using suitable hair care products.Diagnosis: Clinical examination, hair analysis.Treatment: Shampoos with nourishing ingredients like biotin, agave, keratin.Rehabilitation: Regular trims, protective styling.","Balanced diet, good hair care practices.",https://m.media-amazon.com/images/I/61NMs+KNyVL.jpg
30,Herbal Essences Bio:Renew Argan Oil of Morocco Shampoo,Herbal Essences,Shampoo,Healthy Hair,Argan Oil,4.6,Nourishes and revitalizes hair.,"Hair that is strong, shiny, and resilient.","Prevention: Proper nutrition, using suitable hair care products.Diagnosis: Clinical examination, hair analysis.Treatment: Shampoos with nourishing ingredients like biotin, agave, keratin.Rehabilitation: Regular trims, protective styling.","Balanced diet, good hair care practices.",https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/MTA-4346981/herbal-essences_herbal-essences-bio-renew-repair-argan-oil-of-morocco-shampo--400-ml-_full02.jpg
31,MG217 Psoriasis Medicated Conditioning Shampoo,MG217,Shampoo,Lichen Planus,Coal Tar,4.2,Treats scalp symptoms associated with psoriasis and seborrheic dermatitis.,"An inflammatory condition that can affect the skin and mucous membranes, including the scalp.","Prevention: Difficult to prevent due to unknown etiology.Diagnosis: Clinical examination, biopsy.Treatment: Medicated shampoos with coal tar, corticosteroids.Rehabilitation: Ongoing management, avoiding potential triggers.","autoimmune, the immune system attacking cells of the skin or mucous membranes.",https://down-id.img.susercontent.com/file/a87cf06f5b76798ab3e21e8cfd7f51e6
32,Neutrogena T/Gel Therapeutic Shampoo Extra Strength,Neutrogena,Shampoo,Lichen Planus,Coal Tar,4.3,Controls itching and flaking caused by scalp conditions.,"An inflammatory condition that can affect the skin and mucous membranes, including the scalp.","Prevention: Difficult to prevent due to unknown etiology.Diagnosis: Clinical examination, biopsy.Treatment: Medicated shampoos with coal tar, corticosteroids.Rehabilitation: Ongoing management, avoiding potential triggers.","autoimmune, the immune system attacking cells of the skin or mucous membranes.",https://down-id.img.susercontent.com/file/a826b9284ba709bf659499036ae6a856
33,DHS Zinc Shampoo,DHS,Shampoo,Lichen Planus,Zinc Pyrithione,4.1,Reduces dandruff and scalp irritation.,"An inflammatory condition that can affect the skin and mucous membranes, including the scalp.","Prevention: Difficult to prevent due to unknown etiology.Diagnosis: Clinical examination, biopsy.Treatment: Medicated shampoos with coal tar, corticosteroids.Rehabilitation: Ongoing management, avoiding potential triggers.","autoimmune, the immune system attacking cells of the skin or mucous membranes.",https://m.media-amazon.com/images/I/51HoEGBoTaL.jpg
34,Jason Dandruff Relief Treatment Shampoo,Jason,Shampoo,Lichen Planus,Sulfur,4.4,Treats and controls scalp dermatitis.,"An inflammatory condition that can affect the skin and mucous membranes, including the scalp.","Prevention: Difficult to prevent due to unknown etiology.Diagnosis: Clinical examination, biopsy.Treatment: Medicated shampoos with coal tar, corticosteroids.Rehabilitation: Ongoing management, avoiding potential triggers.","autoimmune, the immune system attacking cells of the skin or mucous membranes.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROE4nLMvzbfKBBI95r3BLcpsIxXMm6p7mkmA&s
35,Psoriatrax Coal Tar Shampoo,Psoriatrax,Shampoo,Lichen Planus,Coal Tar,4.3,Helps control the symptoms of psoriasis and dermatitis.,"An inflammatory condition that can affect the skin and mucous membranes, including the scalp.","Prevention: Difficult to prevent due to unknown etiology.Diagnosis: Clinical examination, biopsy.Treatment: Medicated shampoos with coal tar, corticosteroids.Rehabilitation: Ongoing management, avoiding potential triggers.","autoimmune, the immune system attacking cells of the skin or mucous membranes.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNetQMVlg_rlomrp1FJCynQT9Og99POUCbHg&s
36,Rogaine for Men Foam,Rogaine,Foam,Male Pattern Baldness,Minoxidil,4.5,Foam Rogaine Treatment for male pattern baldness.,"Androgenetic alopecia, a common form of hair loss in men.","Prevention: Early intervention with treatments like minoxidil.Diagnosis: Clinical examination, family history.Treatment: Topical solutions like minoxidil, hair growth shampoos.Rehabilitation: Hair transplantation, psychological support.","Genetic factors, hormonal changes.",https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//98/MTA-5446286/rogaine_men-s_rogaine_foam_extra_strength_hair_regrowth_treatment-isi_1_pcs_full05_krj4g3hd.jpg
37,Kirkland Minoxidil 5% Topical Solution,Kirkland,Topical Solution,Male Pattern Baldness,Minoxidil,4.4,Topical Solution KirklandTreatment for male pattern baldness.,"Androgenetic alopecia, a common form of hair loss in men.","Prevention: Early intervention with treatments like minoxidil.Diagnosis: Clinical examination, family history.Treatment: Topical solutions like minoxidil, hair growth shampoos.Rehabilitation: Hair transplantation, psychological support.","Genetic factors, hormonal changes.",https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//100/MTA-39573603/kirkland_kirkland-minoxidil-5-60ml-pipet-original_full01.jpg
38,Spectral.DNC-N by DS Laboratories,DS Laboratories,Topical Solution,Male Pattern Baldness,Nanoxidil,4.3,Topical Solution DS LaboratoriesTreatment for male pattern baldness.,"Androgenetic alopecia, a common form of hair loss in men.","Prevention: Early intervention with treatments like minoxidil.Diagnosis: Clinical examination, family history.Treatment: Topical solutions like minoxidil, hair growth shampoos.Rehabilitation: Hair transplantation, psychological support.","Genetic factors, hormonal changes.",https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//99/MTA-4909175/ds_laboratories_paket_optimal_spectral_dnc-n_3_bulan_penumbuh_rambut_no-1_made_in_usa_full09_rn37rlpt.jpg
39,Nutrafol Hair Growth Serum,Nutrafol,Serum,Male Pattern Baldness,Ashwagandha,4.5,Serum Nutrafol Treatment for male pattern baldness.,"Androgenetic alopecia, a common form of hair loss in men.","Prevention: Early intervention with treatments like minoxidil.Diagnosis: Clinical examination, family history.Treatment: Topical solutions like minoxidil, hair growth shampoos.Rehabilitation: Hair transplantation, psychological support.","Genetic factors, hormonal changes.",https://images.tokopedia.net/img/cache/700/VqbcmM/2021/7/14/ac3f7963-7dea-4e88-ac08-c42c854560ca.jpg
40,Propidren by HairGenics,HairGenics,Solution,Male Pattern Baldness,Saw Palmetto,4.4,Solution HairGenics Treatment for male pattern baldness.,"Androgenetic alopecia, a common form of hair loss in men.","Prevention: Early intervention with treatments like minoxidil.Diagnosis: Clinical examination, family history.Treatment: Topical solutions like minoxidil, hair growth shampoos.Rehabilitation: Hair transplantation, psychological support.","Genetic factors, hormonal changes.",https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//catalog-image/99/MTA-117813168/no-brand_no-brand_full01.jpg
41,Neutrogena T/Gel Therapeutic Shampoo,Neutrogena,Shampoo,Psoriasis,Coal Tar,4.4,Shampoo Neutrogena Treatment for psoriasis.,"A chronic autoimmune condition that causes rapid skin cell turnover, leading to scaling and inflammation.","Prevention: Avoiding known triggers, managing stress.Diagnosis: Clinical examination, biopsy.Treatment: Medicated shampoos with ingredients like salicylic acid, zinc pyrithione.Rehabilitation: Long-term management, use of emollients.","Genetic predisposition, immune system dysfunction.",https://img.ws.mms.shopee.co.id/943d3c76895651b492bf63215e20edf5
42,MG217 Medicated Conditioning Shampoo,MG217,Shampoo,Psoriasis,Coal Tar,4.5,Shampoo MG217 Treatment for psoriasis.,"A chronic autoimmune condition that causes rapid skin cell turnover, leading to scaling and inflammation.","Prevention: Avoiding known triggers, managing stress.Diagnosis: Clinical examination, biopsy.Treatment: Medicated shampoos with ingredients like salicylic acid, zinc pyrithione.Rehabilitation: Long-term management, use of emollients.","Genetic predisposition, immune system dysfunction.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTO-av8OcGYneimC9VJFugRTijLdgYnS4LUcQ&s
43,Dermarest Psoriasis Medicated Shampoo Plus Conditioner,Dermarest,Shampoo,Psoriasis,Salicylic Acid,4.3,Shampoo Dermarest Treatment for psoriasis.,"A chronic autoimmune condition that causes rapid skin cell turnover, leading to scaling and inflammation.","Prevention: Avoiding known triggers, managing stress.Diagnosis: Clinical examination, biopsy.Treatment: Medicated shampoos with ingredients like salicylic acid, zinc pyrithione.Rehabilitation: Long-term management, use of emollients.","Genetic predisposition, immune system dysfunction.",https://id-live-01.slatic.net/p/b55e0dc0fa0667418a9e52b95461a7b3.jpg
44,Psoriasis Shampoo by ArtNaturals,ArtNaturals,Shampoo,Psoriasis,Tea Tree Oil,4.4,Shampoo ArtNaturals Treatment for psoriasis.,"A chronic autoimmune condition that causes rapid skin cell turnover, leading to scaling and inflammation.","Prevention: Avoiding known triggers, managing stress.Diagnosis: Clinical examination, biopsy.Treatment: Medicated shampoos with ingredients like salicylic acid, zinc pyrithione.Rehabilitation: Long-term management, use of emollients.","Genetic predisposition, immune system dysfunction.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCOI5mbGdUQ7pFUhr1L0TS-NXbJOOr39Gqow&s
45,Head & Shoulders Clinical Strength Shampoo,Head & Shoulders,Shampoo,Psoriasis,Zinc Pyrithione,4.3,Shampoo Head & Shoulders Treatment for psoriasis.,"A chronic autoimmune condition that causes rapid skin cell turnover, leading to scaling and inflammation.","Prevention: Avoiding known triggers, managing stress.Diagnosis: Clinical examination, biopsy.Treatment: Medicated shampoos with ingredients like salicylic acid, zinc pyrithione.Rehabilitation: Long-term management, use of emollients.","Genetic predisposition, immune system dysfunction.",https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//catalog-image/94/MTA-132208581/head-shoulders_head-shoulders-clinical-dandruff-defense-advanced-oil-control-shampoo_full01.jpg
46,Selsun Blue Medicated Maximum Strength,Selsun Blue,Shampoo,Seborrheic Dermatitis,Selenium Sulfide,4.6,Shampoo Selsun Blue Treatment for seborrheic dermatitis.,"A chronic inflammatory skin condition that affects the scalp, causing red, scaly, and itchy patches.","Prevention: Regular scalp care, avoiding known irritants.Diagnosis: Clinical evaluation, sometimes skin biopsy.Treatment: Medicated shampoos with ingredients like ketoconazole, coal tar, salicylic acid.Rehabilitation: Long-term use of medicated shampoos, stress management.","Overgrowth of Malassezia yeast, genetic factors, immune response.",https://images-cdn.ubuy.co.id/64cdcadfb9bb97270b6be4ae-selsun-blue-medicated-anti-dandruff.jpg
47,Head & Shoulders Clinical Strength Shampoo,Head & Shoulders,Shampoo,Seborrheic Dermatitis,Zinc Pyrithione,4.5,Shampoo Head & Shoulders Treatment for seborrheic dermatitis.,"A chronic inflammatory skin condition that affects the scalp, causing red, scaly, and itchy patches.","Prevention: Regular scalp care, avoiding known irritants.Diagnosis: Clinical evaluation, sometimes skin biopsy.Treatment: Medicated shampoos with ingredients like ketoconazole, coal tar, salicylic acid.Rehabilitation: Long-term use of medicated shampoos, stress management.","Overgrowth of Malassezia yeast, genetic factors, immune response.",https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//catalog-image/94/MTA-132208581/head-shoulders_head-shoulders-clinical-dandruff-defense-advanced-oil-control-shampoo_full01.jpg
